model,calibrator,split,auroc,ece,auroc_notuned,ece_notuned,delta_auroc_notuned,delta_ece_notuned,auroc_random,ece_random,delta_auroc_random,delta_ece_random,mean_js,mean_ks
lgbm,none,hospital,0.9051985998274146,0.0095596371523136,0.9051985998274146,0.0095596371523136,0.0,0.0,0.8926857162981996,0.0041983462270086,-0.01251288352921498,0.0053612909253050005,0.0089924029833777,0.0846848900414916
lgbm,platt,hospital,0.9051985998274146,0.0199334317917045,0.9051985998274146,0.0095596371523136,0.0,0.0103737946393908,0.8926857162981996,0.0218602528266787,-0.01251288352921498,-0.0019268210349742028,0.0089924029833777,0.0846848900414916
lr,none,hospital,0.8813362166294855,0.229220137951862,0.8813362166294855,0.229220137951862,0.0,0.0,0.8707435463266833,0.2435989590869496,-0.010592670302802198,-0.014378821135087594,0.0089924029833777,0.0846848900414916
lr,platt,hospital,0.8813362166294855,0.0170736704629808,0.8813362166294855,0.229220137951862,0.0,-0.2121464674888812,0.8707435463266833,0.0075735946784351,-0.010592670302802198,0.0095000757845457,0.0089924029833777,0.0846848900414916
rf,none,hospital,0.9052340866694089,0.0693495128270275,0.9052340866694089,0.0693495128270275,0.0,0.0,0.8858478686633544,0.06479243791355,-0.019386218006054445,0.00455707491347751,0.0089924029833777,0.0846848900414916
rf,platt,hospital,0.9052340866694089,0.0560254550269459,0.9052340866694089,0.0693495128270275,0.0,-0.0133240578000816,0.8858478686633544,0.0605602471979819,-0.019386218006054445,-0.004534792171036001,0.0089924029833777,0.0846848900414916
xgb,none,hospital,0.9026722411849748,0.0120118907768237,0.9026722411849748,0.0120118907768237,0.0,0.0,0.8927753647557379,0.0051170779808682,-0.009896876429236867,0.0068948127959555,0.0089924029833777,0.0846848900414916
xgb,platt,hospital,0.9026722411849748,0.0234468262360311,0.9026722411849748,0.0120118907768237,0.0,0.0114349354592074,0.8927753647557379,0.0259978193651166,-0.009896876429236867,-0.002550993129085497,0.0089924029833777,0.0846848900414916
lgbm,none,random,0.8926857162981996,0.0041983462270086,0.8926857162981996,0.0041983462270086,0.0,0.0,0.8926857162981996,0.0041983462270086,,,3.0691714959682374e-05,0.0036757756554059
lgbm,platt,random,0.8926857162981996,0.0218602528266787,0.8926857162981996,0.0041983462270086,0.0,0.0176619065996701,0.8926857162981996,0.0218602528266787,,,3.0691714959682374e-05,0.0036757756554059
lr,none,random,0.8707435463266833,0.2435989590869496,0.8707435463266833,0.2435989590869496,0.0,0.0,0.8707435463266833,0.2435989590869496,,,3.0691714959682374e-05,0.0036757756554059
lr,platt,random,0.8707435463266833,0.0075735946784351,0.8707435463266833,0.2435989590869496,0.0,-0.2360253644085145,0.8707435463266833,0.0075735946784351,,,3.0691714959682374e-05,0.0036757756554059
rf,none,random,0.8858478686633544,0.06479243791355,0.8858478686633544,0.0647924379135499,0.0,9.714451465470121e-17,0.8858478686633544,0.06479243791355,,,3.0691714959682374e-05,0.0036757756554059
rf,platt,random,0.8858478686633544,0.0605602471979819,0.8858478686633544,0.0647924379135499,0.0,-0.0042321907155679,0.8858478686633544,0.0605602471979819,,,3.0691714959682374e-05,0.0036757756554059
xgb,none,random,0.8927753647557379,0.0051170779808682,0.8927753647557379,0.0051170779808682,0.0,0.0,0.8927753647557379,0.0051170779808682,,,3.0691714959682374e-05,0.0036757756554059
xgb,platt,random,0.8927753647557379,0.0259978193651166,0.8927753647557379,0.0051170779808682,0.0,0.0208807413842483,0.8927753647557379,0.0259978193651166,,,3.0691714959682374e-05,0.0036757756554059
lgbm,none,temporal,0.8868497957738387,0.0048178661472677,0.8868497957738387,0.0048178661472677,0.0,0.0,0.8926857162981996,0.0041983462270086,0.0058359205243608825,0.0006195199202591005,0.0001538394667176,0.0080859326312141
lgbm,platt,temporal,0.8868497957738387,0.032143663736352,0.8868497957738387,0.0048178661472677,0.0,0.0273257975890843,0.8926857162981996,0.0218602528266787,0.0058359205243608825,0.010283410909673302,0.0001538394667176,0.0080859326312141
lr,none,temporal,0.8675932076697889,0.2426759280209428,0.8675932076697889,0.2426759280209428,0.0,0.0,0.8707435463266833,0.2435989590869496,0.0031503386568944025,-0.000923031066006802,0.0001538394667176,0.0080859326312141
lr,platt,temporal,0.8675932076697889,0.0054377704429838,0.8675932076697889,0.2426759280209428,0.0,-0.237238157577959,0.8707435463266833,0.0075735946784351,0.0031503386568944025,-0.0021358242354513005,0.0001538394667176,0.0080859326312141
rf,none,temporal,0.8804856767918287,0.0653050354603454,0.8804856767918287,0.0653050354603454,0.0,0.0,0.8858478686633544,0.06479243791355,0.005362191871525757,0.0005125975467954041,0.0001538394667176,0.0080859326312141
rf,platt,temporal,0.8804856767918287,0.0618419894763413,0.8804856767918287,0.0653050354603454,0.0,-0.003463045984004,0.8858478686633544,0.0605602471979819,0.005362191871525757,0.0012817422783594004,0.0001538394667176,0.0080859326312141
xgb,none,temporal,0.887018005709051,0.0069289562340083,0.887018005709051,0.0069289562340083,0.0,0.0,0.8927753647557379,0.0051170779808682,0.0057573590466869495,0.0018118782531400994,0.0001538394667176,0.0080859326312141
xgb,platt,temporal,0.887018005709051,0.0359115931227636,0.887018005709051,0.0069289562340083,0.0,0.0289826368887553,0.8927753647557379,0.0259978193651166,0.0057573590466869495,0.009913773757647005,0.0001538394667176,0.0080859326312141
